Year,"				Time",Machine ID,"			Unit No","			Model","				SW Version",LOT No,"				Chip ID","			BCR ID", LensBcr,Step,MotorTx,"			MotorTy","			MotorX","				MotorY","			MotorZ",OC_X,"				OC_Y","				OC_Threshold","		OC_Left","		OC_Right","		OC_Top","		OC_Bottom",CentSFR,"			LfUpSFR6085","			RgtUpSFR6085","			LfDnSFR6085","		RgtDnSFR6085",LfUpSFR60,"			RgtUpSFR60","			LfDnSFR60","		RgtDnSFR60",LfUpSFR85,"			RgtUpSFR85","			LfDnSFR85","		RgtDnSFR85",DFOV,"				TiltX","				TiltY","				Rotation",CenterROI_Left,"		CenterROI_Right","	CenterROI_Top","		CenterROI_Btm",LeftTopROI_Left,"	LeftTopROI_Right","	LeftTopROI_Top","		LeftTopROI_Btm",RightToptROI_Left,"	RightTopROI_Right","	RightTopROI_Top","	RightTopROI_Btm",LeftBtmROI_Left,"	LeftBtmROI_Right","	LeftBtmROI_Top","		LeftBtmROI_Btm",RightBtmtROI_Left,"	RightBtmROI_Right","	RightBtmROI_Top","	RightBtmROI_Btm",IMG1_Cen, IMG1_LeftUp, IMG1_RightUp, IMG1_LeftDown, IMG1_RightDown, IMG2_Cen, IMG2_LeftUp, IMG2_RightUp, IMG2_LeftDown, IMG2_RightDown, IMG3_Cen, IMG3_LeftUp, IMG3_RightUp, IMG3_LeftDown, IMG3_RightDown
10/12/2022,11:15:06:815,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540505DBKW4, 56106b62e22e5604,19,0.024,-0.01092,-5.619,-10.742,-1.0664, , , , , , , ,0.57212,0.450045,0.54982,0.479066,0.543879,0.477215,0.56912,0.515294,0.575878,0.422876,0.530521,0.442838,0.51188,31.098577,0.816354,0.120005,0.301554,2010,2145,1434,1569,192,327,205,340,3854,3989,233,368,180,315,2634,2769,3832,3967,2659,2794,0.569825,0.389391,0.524442,0.386614,0.522309,0.571047,0.392068,0.52068,0.39795,0.531103,0.571047,0.392068,0.52068,0.39795,0.531103
10/12/2022,11:15:06:839,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540505DBKW4, 56106b62e22e5604,,,,,,,TiltX,0.011199,TiltY,0.110413,,,Focus_Pos,-1.053,-1.05,-1.058,-1.05,-1.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,0,0,0, , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,2145,1434,1569,192,327,205,340,3854,3989,233,368,180,315,2634,2769,3832,3967,2659,2794,0.569825,0.389391,0.524442,0.386614,0.522309,0.571047,0.392068,0.52068,0.39795,0.531103,0.571047,0.392068,0.52068,0.39795,0.531103,,,,,,,,,,
10/12/2022,11:15:07:927,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540505DBKW4, 56106b62e22e5604,Final,0.0352,0.09828,-5.619,-10.742,-1.053,0,0,0,0,0,0,0,0.655275,0.581429,0.594293,0.617729,0.571097,0.615353,0.615165,0.647627,0.600181,0.547505,0.573422,0.587832,0.542012,31.068859,0.858217,0.263218,0.262479,2010,2145,1424,1559,188,323,193,328,3860,3995,221,356,176,311,2622,2757,3832,3967,2662,2797,0.651005,0.517388,0.572911,0.570537,0.505154,0.651599,0.519354,0.572844,0.567134,0.502655,0.651599,0.519354,0.572844,0.567134,0.502655
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2022,11:15:24:555,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540504KBMW4, 56106b62e22ec602,0,0.024,-0.01092,-5.619,-10.742,-0.977, , , , , , , ,0.036076,0.014918,0.021667,0.01632,0.012632,0.014752,0.020033,0.020985,0.01283,0.015085,0.023302,0.011654,0.012434,30.635983,0.716793,0.177117,0.148434,2014,2149,1426,1561,182,317,191,326,3880,4015,218,353,168,303,2646,2781,3860,3995,2670,2805,0.044586,0.01403,0.023594,0.012313,0.012004,0.040378,0.016957,0.021745,0.015297,0.010043,0,0,0,0,0
10/12/2022,11:15:25:006,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540504KBMW4, 56106b62e22ec602,0,0.024,-0.01092,-5.619,-10.742,-0.9089, , , , , , , ,0.014873,0.008444,0.022321,0.015153,0.01467,0.009062,0.026213,0.018402,0.018711,0.007827,0.018428,0.011904,0.01063,30.523972,0.671616,0.223122,0.2961,2016,2151,1426,1561,176,311,184,319,3886,4021,216,351,162,297,2642,2777,3862,3997,2671,2806,0.01555,0.009602,0.013041,0.013313,0.008866,0.01555,0.009602,0.013041,0.013313,0.008866,0,0,0,0,0
10/12/2022,11:15:25:293,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540504KBMW4, 56106b62e22ec602,1,0.024,-0.01092,-5.619,-10.742,-0.9089, , , , , , , ,0.015441,0.039221,0.024221,0.016902,0.014827,0.066888,0.026096,0.019839,0.01863,0.011553,0.022345,0.013966,0.011025,30.586634,0.650793,0.223216,0.2961,2018,2153,1428,1563,176,311,201,336,3886,4021,216,351,162,297,2642,2777,3866,4001,2670,2805,0.019482,0.008683,0.016165,0.015167,0.00761,0.014289,0.015329,0.017568,0.01789,0.010089,0,0,0,0,0
10/12/2022,11:15:25:483,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540504KBMW4, 56106b62e22ec602,2,0.024,-0.01092,-5.619,-10.742,-0.9211, , , , , , , ,0.013698,0.037728,0.019202,0.016303,0.016808,0.061361,0.015723,0.017968,0.018819,0.014096,0.022681,0.014639,0.014798,30.523972,0.671616,0.223122,0.2961,2018,2153,1426,1561,176,311,200,335,3884,4019,216,351,166,301,2642,2777,3866,4001,2671,2806,0.015935,0.003402,0.018892,0.013219,0.01305,0.015345,0.015283,0.013516,0.015557,0.008351,0,0,0,0,0
10/12/2022,11:15:25:671,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540504KBMW4, 56106b62e22ec602,3,0.024,-0.01092,-5.619,-10.742,-0.9333, , , , , , , ,0.014162,0.032011,0.016588,0.011223,0.014529,0.05776,0.012453,0.015776,0.01896,0.006261,0.020723,0.00667,0.010099,30.586634,0.650793,0.211646,0.2961,2016,2151,1426,1561,176,311,185,320,3884,4019,216,351,166,301,2642,2777,3866,4001,2669,2804,0.014386,0.005832,0.016968,0.003466,0.01034,0.014386,0.005832,0.016968,0.003466,0.01034,0,0,0,0,0
